par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
64,0.848346925,0.878745444,0.803843479,0.848884862,0.839720093,0.828932448,0.800733089,0.801393164,0.849595947,0.886000094,0.804293813,0.855801444,0.823545525,0.876068288,0.813734311,0.700168567,0.510328147,0.567753253,0.494815184,0.573077188,0.56277113,0.531601482,32342.74349,40617.68036
65,0.850745325,0.88051376,0.806068018,0.853446679,0.842386465,0.844112212,0.801068566,0.817235008,0.851867796,0.885596997,0.80673937,0.858503401,0.826329883,0.879566927,0.818814476,0.706815262,0.513373978,0.570746194,0.497155141,0.577476507,0.566107115,0.536197248,32605.18565,40465.42902
66,0.853941526,0.88139983,0.810609869,0.853345213,0.847312999,0.831885086,0.806826434,0.80652598,0.854805871,0.887950451,0.81110322,0.859539227,0.829123733,0.88036384,0.82402563,0.711524437,0.516872027,0.571691974,0.500195294,0.579246508,0.569041026,0.538327196,32696.48706,41428.58993
67,0.854160109,0.882149799,0.81181408,0.853447206,0.844379845,0.835976861,0.80251938,0.807986565,0.855347688,0.88790437,0.812942699,0.859113003,0.830364075,0.881363994,0.829622966,0.720382744,0.518265981,0.573212859,0.503265566,0.579632876,0.572140166,0.539548175,33031.42689,41316.32894
68,0.852954707,0.887159695,0.807180795,0.860225764,0.844242424,0.85523961,0.806262626,0.827997614,0.853960627,0.890878762,0.807286807,0.863980724,0.827485258,0.885105412,0.834862326,0.7275178,0.521665462,0.576651043,0.503201759,0.585638538,0.572864979,0.543566953,33216.4919,41990.65746
69,0.855797269,0.886369748,0.811365877,0.856870979,0.854510801,0.83929297,0.814697162,0.808411215,0.855938715,0.891706396,0.810999604,0.862364403,0.830413896,0.882977183,0.839653522,0.734627187,0.52447284,0.577203184,0.510088962,0.586114798,0.579324956,0.544599281,33820.16614,41605.84517
70,0.856280143,0.888645159,0.813692598,0.861204809,0.844492441,0.839783784,0.806911447,0.810378378,0.857547608,0.893816651,0.814421737,0.866584283,0.832941917,0.886306728,0.84682918,0.743702881,0.52709227,0.579521742,0.509940906,0.590673993,0.580894221,0.548803339,33946.74882,42362.65329
71,0.855836968,0.888578407,0.811891983,0.860200364,0.857206704,0.835677607,0.818547486,0.80933244,0.855695148,0.893983985,0.811202888,0.865398216,0.83199849,0.886881106,0.851973727,0.751564865,0.529659175,0.581806496,0.510375708,0.591491764,0.581638748,0.550131555,33819.39669,42594.91601
72,0.857995727,0.89060849,0.813900876,0.862597634,0.854497355,0.844369369,0.812890813,0.815990991,0.858329509,0.895292856,0.813997246,0.867319232,0.833822112,0.888681708,0.856081168,0.7559035,0.531266808,0.583377342,0.514977361,0.595584214,0.587603215,0.555150023,34394.07224,43095.06847
73,0.858360518,0.889830509,0.813469431,0.861561302,0.845702627,0.840743532,0.79648049,0.815875408,0.859499014,0.894220186,0.814997477,0.865646832,0.833484163,0.888634583,0.861910279,0.763564204,0.534924368,0.583067769,0.518853236,0.594964524,0.59123186,0.554866754,34840.03959,43040.21665
